id	symbol
MS00380	FOXO3
MS00381	FOXO4
MS00383	FOXO4
MS00384	FOXO6
MS00386	FOXO6
MS00387	FOXP3
MS00388	Foxc1
MS00390	ZNF238
MS00392	Foxg1
MS00393	Foxg1
MS00394	Foxj3
MS00397	Foxj3
MS00398	Foxk1
MS00399	Foxk1
MS00401	ZNF306
MS00402	ALX3
MS00403	ALX3
MS00404	ALX4
MS00405	ARX
MS00406	Alx1
MS00407	Alx1
MS00408	Alx4
MS00409	Arx
MS00412	ZNF410
MS00414	BARHL2
MS00416	BARHL2
MS00417	BARX1
MS00418	BARX1
MS00419	BSX
MS00421	Barhl1
MS00422	Barhl1
MS00423	ZNF524
MS00424	CART1
MS00425	CDX1
MS00427	DLX1
MS00428	DLX2
MS00429	DLX3
MS00430	DLX4
MS00431	DLX5
MS00432	DLX6
MS00433	DMBX1
MS00436	DPRX
MS00437	DRGX
MS00438	DUXA
MS00439	Dlx1
MS00440	Dlx2
MS00441	EMX1
MS00442	EMX1
MS00443	EMX2
MS00444	EMX2
MS00445	ZNF740
MS00446	EN1
MS00449	EN1
MS00450	EN2
MS00452	ESX1
MS00454	EVX1
MS00455	EVX2
MS00458	En2
MS00459	GBX1
MS00460	GBX2
MS00461	GBX2
MS00463	GSC2
MS00464	GSC
MS00465	GSX1
MS00466	GSX2
MS00467	Gbx1
MS00468	ZNF75A
MS00469	Gbx2
MS00470	HESX1
MS00472	HMBOX1
MS00473	HMX1
MS00474	HMX2
MS00475	HMX3
MS00476	HNF1A
MS00478	HNF1B
MS00479	ZNF784
MS00480	HOXA10
MS00481	HOXA10
MS00484	HOXA13
MS00485	HOXA13
MS00486	HOXA1
MS00487	HOXA2
MS00488	HOXB13
MS00489	HOXB13
MS00490	ZSCAN4
MS00491	HOXB2
MS00492	HOXB3
MS00493	HOXB5
MS00494	HOXC10
MS00495	HOXC10
MS00496	HOXC10
MS00497	HOXC11
MS00498	HOXC11
MS00501	Zfp652
MS00502	HOXC12
MS00503	HOXC12
MS00504	HOXC13
MS00505	HOXC13
MS00506	HOXD11
MS00507	HOXD11
MS00510	HOXD13
MS00511	HOXD13
MS00512	Zfp740
MS00513	HOXD8
MS00514	Hoxa11
MS00515	Hoxa11
MS00516	Hoxa2
MS00517	Hoxc10
MS00518	Hoxc10
